Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-40.0	-48.0	-60.0	643.4469303209573	288
1a	-44.0	-58.0	-58.0	10.334226591903914	
2	8.0	-32.0	-66.0	17.816468308575008	2552
2a	-8.0	-32.0	-64.0	15.309416727597972	
2b	2.0	-32.0	-66.0	13.191287448900187	
2c	10.0	-28.0	-56.0	8.792828631061896	
3	44.0	-52.0	-60.0	13.234721655634102	136
4	0.0	-66.0	-56.0	11.207788034434436	264
4a	0.0	-74.0	-54.0	5.634142622108396	
5	38.0	-90.0	-22.0	9.456486451625281	312
5a	46.0	-80.0	-22.0	4.410882300480853	
6	26.0	-78.0	-52.0	8.842679609437926	448
7	2.0	-52.0	-62.0	7.355805469724308	128
8	-20.0	-86.0	-52.0	7.153834774477669	120
9	-10.0	-82.0	-52.0	6.33796281080578	80
10	42.0	-62.0	-58.0	5.78287629001698	88
11	-10.0	-98.0	-18.0	5.163018337455927	680
11a	-28.0	-96.0	-18.0	4.182826450268913	
11b	-34.0	-90.0	-20.0	3.372828349495229	
11c	-18.0	-98.0	-18.0	3.275203865432081	
12	2.0	-56.0	76.0	4.303722298691453	200
