Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-60.0	-72.0	62.61198464047197	4384
1a	6.0	-64.0	-70.0	56.208567841404935	
1b	-10.0	-42.0	-72.0	16.235461083798214	
1c	12.0	-38.0	-68.0	16.017728880806064	
2	2.0	-18.0	-54.0	12.714310366287584	344
3	-4.0	76.0	12.0	10.934476798325408	768
3a	-12.0	76.0	10.0	9.627648428935478	
3b	4.0	76.0	6.0	7.849893590230904	
3c	-20.0	74.0	4.0	5.756420474945818	
4	20.0	-4.0	-50.0	10.511225821651577	88
5	16.0	74.0	18.0	6.157805581397062	144
6	30.0	-14.0	-46.0	6.1489573560866475	80
7	0.0	-26.0	-64.0	5.496896934595338	200
8	16.0	72.0	24.0	5.161170391498954	208
8a	22.0	72.0	16.0	4.36542605828955	
9	-6.0	10.0	-36.0	4.74477677010015	120
