Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	-10.0	-60.0	-72.0	62.502713488353606	4392
1a	6.0	-64.0	-70.0	56.20701810158838	
1b	-10.0	-42.0	-72.0	16.7463230794453	
1c	12.0	-38.0	-68.0	15.995215005272126	
2	2.0	-18.0	-54.0	12.691126822600967	344
3	-4.0	76.0	12.0	10.915991940310837	776
3a	-12.0	76.0	10.0	9.606918188452067	
3b	4.0	76.0	6.0	7.844352248483501	
3c	-20.0	74.0	4.0	5.747851922558019	
4	20.0	-4.0	-50.0	10.778824868574487	88
5	16.0	74.0	18.0	6.146493395349898	144
5a	0.0	74.0	18.0	3.3212513303238276	
6	30.0	-14.0	-46.0	6.139424468188269	80
7	0.0	-26.0	-64.0	5.49316807855907	224
8	16.0	72.0	24.0	5.155703952750687	208
8a	22.0	72.0	16.0	4.358251242802655	
9	-6.0	10.0	-36.0	4.736816139924956	120
