Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	16.0	74.0	-2.0	15.8256375201008	2040
1a	28.0	70.0	-8.0	13.378697608664831	
1b	2.0	74.0	-6.0	12.21747319122234	
1c	32.0	68.0	-12.0	11.43262627259448	
2	-4.0	-36.0	-72.0	11.601016843174367	1272
2a	6.0	-36.0	-72.0	9.960857086201814	
3	-18.0	72.0	-4.0	8.50043454695288	240
3a	-22.0	72.0	8.0	7.085998115773245	
3b	-26.0	70.0	0.0	6.283688783269559	
4	-16.0	74.0	6.0	6.972835959226441	128
5	-28.0	68.0	-4.0	5.8581476652307956	80
6	-10.0	8.0	-36.0	3.9949902612466657	80
