Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	2.0	-32.0	-72.0	74.33194333129802	3704
1a	16.0	-42.0	-70.0	11.976085444278645	
1b	-16.0	-46.0	-68.0	9.62889728688562	
2	52.0	-14.0	-36.0	12.927741625412938	2000
2a	60.0	-18.0	-28.0	8.254476277248225	
2b	62.0	-8.0	-28.0	4.294812131603777	
3	2.0	-94.0	-14.0	12.756976604215609	3488
3a	16.0	-92.0	-18.0	9.394559244868622	
3b	40.0	-84.0	-22.0	7.762414567846056	
3c	34.0	-90.0	-20.0	7.2594698736061165	
4	0.0	10.0	74.0	11.639228140239885	616
4a	10.0	2.0	78.0	3.612982700775238	
5	4.0	44.0	-30.0	10.824875700808144	528
6	-62.0	8.0	-2.0	10.22156510383548	200
6a	-58.0	14.0	-6.0	3.6837347268145004	
7	-20.0	-96.0	-34.0	9.069318088376727	120
8	-8.0	50.0	-24.0	8.713605520604435	120
9	4.0	-12.0	82.0	7.979728732119774	672
9a	4.0	-24.0	80.0	6.054768290398244	
10	2.0	-56.0	-66.0	7.616842094568829	208
11	6.0	-88.0	48.0	7.391003999269711	752
11a	4.0	-80.0	56.0	5.793973456497813	
12	-50.0	-14.0	-36.0	6.966503967605235	896
12a	-60.0	-20.0	-24.0	6.426637018183115	
12b	-52.0	-20.0	-26.0	6.347410484458789	
12c	-64.0	-26.0	-22.0	3.5117111121340914	
13	-20.0	-4.0	-34.0	6.008951365405976	304
14	-32.0	-16.0	-36.0	5.945452679990967	272
14a	-40.0	-14.0	-34.0	3.76708323562644	
15	0.0	-22.0	-46.0	5.679205388796252	880
15a	2.0	-16.0	-40.0	5.214670848432036	
15b	14.0	-30.0	-48.0	4.539612406483967	
16	0.0	24.0	-24.0	5.5773571473666665	352
17	12.0	76.0	14.0	5.541641187210262	88
18	6.0	-100.0	28.0	5.437982042421058	136
19	18.0	72.0	-6.0	5.256609730364502	144
20	34.0	-18.0	-34.0	5.1887675096730534	112
21	-50.0	-8.0	60.0	4.795819707016879	96
22	72.0	-24.0	-18.0	3.8462875673772836	104
